,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,state
aach,,,,,,,,6.68,5.14,5.68,5.97,5.09,6.53,6.37,6.69,7.04,Rheinland-Pfalz
aachen,,,,,,,,,6.95,7.19,7.63,7.92,8.16,8.3,8.64,8.87,Nordrhein-Westfalen
aalen,,,,,,,,5.9,6.1,6.15,6.39,6.73,7.12,7.62,8.38,8.66,Baden-Wuerttemberg
aarbergen,,,,,,,,,5.2,5.46,5.17,4.97,5.13,5.17,5.6,5.71,Hessen
abensberg,,,,,,,,,4.53,6.05,5.81,5.96,5.93,6.87,8.01,7.9,Bayern
absberg,,,,,,,,,4.72,4.51,5.19,4.8,,6.85,6.56,7.07,Bayern
abstatt,,,,,,,,,7.11,6.56,7.34,7.99,7.81,8.21,8.94,8.89,Baden-Wuerttemberg
achim,,,,,,,6.1,,5.64,5.89,6.21,6.22,6.29,6.46,6.96,7.47,Niedersachsen
achtrup,,,,,,,,,5.45,4.99,5.03,5.34,5.16,5.48,6.16,6.17,Schleswig-Holstein
adelschlag,,,,,,,,,,,5.24,5.97,6.21,8.11,6.74,8.16,Bayern
adelsdorf,,,,,,,,,5.37,6.69,6.93,6.34,6.73,5.89,6.31,7.22,Bayern
adenau,,,,,,,,,3.96,4.77,4.48,4.53,4.73,5.04,5.09,5.2,Rheinland-Pfalz
adendorf,,,,,,,7.07,,7.13,6.69,7.09,7.01,7.64,8.03,8.04,8.56,Niedersachsen
adlkofen,,,,,,,,,4.61,4.85,6.32,6.06,6.38,6.88,7.44,7.65,Bayern
aerzen,,,,,,,,,,5.16,5.38,4.03,4.1,4.67,4.86,4.99,Niedersachsen
affing,,,,,,,,,6.56,6.48,6.89,6.68,6.34,7.1,7.41,10.51,Bayern
ahaus,,,,,,,,,5.23,5.14,5.45,5.53,5.67,5.87,6.24,6.34,Nordrhein-Westfalen
ahausen,,,,,,,,,5.12,5.41,5.34,5.37,5.64,5.7,5.79,5.59,Hessen
ahlbeck,,,,,,,,,,4.32,3.85,5.57,5.75,5.01,5.14,12.65,Mecklenburg-Vorpommern
ahlen,,,,,,,,,5.03,5.13,5.23,5.28,5.43,5.48,5.74,5.92,Nordrhein-Westfalen
ahlstaedt,,,,,,,,,,6.59,5.01,4.0,5.22,5.17,5.53,5.74,Thueringen
ahnatal,,,,,,,,,5.17,5.45,5.61,6.04,5.84,6.03,6.7,7.05,Hessen
ahnsen,,,,,,,,,,,5.0,5.99,,4.91,5.44,5.49,Niedersachsen
ahorn,,,,,,,,3.68,4.69,4.68,5.2,5.31,5.64,5.41,6.51,6.56,Bayern
ahrbrueck,,,,,,,,4.63,4.41,8.87,4.48,4.91,4.77,4.78,5.52,5.32,Rheinland-Pfalz
ahrensboek,,,,,,,,,5.4,5.79,5.55,5.47,5.55,6.18,6.44,7.08,Schleswig-Holstein
ahrensburg,,,,,,,,,8.14,8.35,8.5,8.73,8.95,9.05,9.51,9.72,Schleswig-Holstein
ahrensfelde,,,,,,,,,7.01,7.28,7.53,7.14,6.96,6.94,7.25,8.51,Brandenburg
aichach,,,,,,,,,6.18,6.35,6.57,6.85,7.11,7.57,8.5,8.62,Bayern
aichelberg,,,,,,,,,,9.38,7.25,15.0,8.62,8.04,7.7,7.56,Baden-Wuerttemberg
aichtal,,,,,,,,,9.1,8.08,8.3,8.86,7.97,8.64,9.52,9.78,Baden-Wuerttemberg
aichwald,,,,,,,,8.25,8.05,7.77,8.17,8.16,7.79,8.37,8.8,10.23,Baden-Wuerttemberg
aidlingen,,,,,,,,9.85,8.17,9.02,7.51,8.06,8.72,8.53,8.69,9.73,Baden-Wuerttemberg
ainring,,,,,,,,,,9.05,7.86,8.03,7.73,7.67,7.89,7.87,Bayern
albbruck,,,,,,,,,3.82,5.39,7.47,7.21,6.26,6.86,7.36,7.36,Baden-Wuerttemberg
albersdorf,,,,,,,,,6.02,5.06,4.96,5.03,5.31,5.62,5.74,6.09,Schleswig-Holstein
