Wohnung.com
RATGEBER
IMMOBILIENBEWERTUNG
STATISTIKEN
Adresse
Suche: Stadt, PLZ oder Adresse
Wohnfläche in m²
Wohnung.com Alle Städte
Alle Städte im Überblick
 Baden-Württemberg Bayern Berlin Brandenburg Bremen Hamburg Hessen Mecklenburg-Vorpommern Niedersachsen Nordrhein-Westfalen Rheinland-Pfalz Saarland Sachsen Sachsen-Anhalt Schleswig-Holstein Thüringen
Ø Mietpreis: von 0 bis 30 €/m²
Ø Kaufpreis: von 0 bis 10.000 €/m²
A ∅ MIETE / ∅ KAUF
Abenberg6,00 €/m² / 1.658 €/m²
Abensberg7,66 €/m² / 2.476 €/m²
Absberg6,86 €/m² / 1.639 €/m²
Abtswind5,19 €/m² / 1.197 €/m²
Achslach4,42 €/m² / 1.557 €/m²
Adelschlag7,90 €/m² / 2.266 €/m²
Adelsdorf6,40 €/m² / 1.855 €/m²
Adelshofen7,95 €/m² / 2.371 €/m²
Adelsried7,74 €/m² / 2.576 €/m²
Adelzhausen8,04 €/m² / 2.984 €/m²
Adlkofen7,40 €/m² / 2.411 €/m²
Affing8,17 €/m² / 2.230 €/m²
Aham5,98 €/m² / 1.645 €/m²
Aholfing5,75 €/m² / 1.695 €/m²
Aholming5,44 €/m² / 1.555 €/m²
Ahorn6,16 €/m² / 1.275 €/m²
Ahorntal5,78 €/m² / 1.037 €/m²
Aichach8,30 €/m² / 2.655 €/m²
Aichen7,41 €/m² / 1.596 €/m²
Aidenbach5,97 €/m² / 1.491 €/m²
Aidhausen4,14 €/m² / 579 €/m²
Aiglsbach6,99 €/m² / 2.382 €/m²
Aindling6,79 €/m² / 2.127 €/m²
Ainring7,81 €/m² / 2.485 €/m²
Aislingen5,19 €/m² / 1.230 €/m²
Aiterhofen5,77 €/m² / 1.673 €/m²
Albaching7,81 €/m² / 3.493 €/m²
Albertshofen6,22 €/m² / 1.453 €/m²
Alerheim4,86 €/m² / 1.280 €/m²
Alesheim4,85 €/m² / 988 €/m²
Aletshausen5,66 €/m² / 2.115 €/m²
Alfeld5,10 €/m² / 970 €/m²
Allersberg6,73 €/m² / 1.919 €/m²
Allershausen9,70 €/m² / 3.016 €/m²
Alling11,28 €/m² / 4.368 €/m²
Allmannshofen6,76 €/m² / 1.971 €/m²
Altdorf7,88 €/m² / 2.383 €/m²
Alteglofsheim6,71 €/m² / 2.030 €/m²
Altenbuch5,64 €/m² / 1.546 €/m²
Altendorf5,19 €/m² / 750 €/m²
Altenkunstadt5,53 €/m² / 986 €/m²
Altenmünster6,72 €/m² / 1.910 €/m²
Altenstadt6,76 €/m² / 1.696 €/m²
Altertheim5,55 €/m² / 1.199 €/m²
Altfraunhofen7,59 €/m² / 2.686 €/m²
Althegnenberg8,84 €/m² / 3.084 €/m²
Altmannstein6,32 €/m² / 1.759 €/m²
Altomünster8,47 €/m² / 2.784 €/m²
Altusried7,71 €/m² / 2.185 €/m²
Altötting6,46 €/m² / 1.872 €/m²
Alzenau7,74 €/m² / 2.195 €/m²
Amberg6,99 €/m² / 1.920 €/m²
Amerang7,83 €/m² / 2.701 €/m²
Amerdingen4,83 €/m² / 1.086 €/m²
Ammerndorf6,60 €/m² / 2.210 €/m²
Ammerthal5,77 €/m² / 1.567 €/m²
Ampfing6,71 €/m² / 2.107 €/m²
Andechs10,03 €/m² / 4.635 €/m²
Anger7,31 €/m² / 2.851 €/m²
Ansbach7,31 €/m² / 1.784 €/m²
Antdorf9,51 €/m² / 0 €/m²
Anzing11,15 €/m² / 3.950 €/m²
Apfeldorf6,91 €/m² / 2.901 €/m²
Apfeltrach6,42 €/m² / 1.928 €/m²
Arberg5,50 €/m² / 1.038 €/m²
Aresing10,32 €/m² / 2.314 €/m²
Arnbruck5,29 €/m² / 1.295 €/m²
Arnschwang5,07 €/m² / 1.219 €/m²
Arnstein5,44 €/m² / 930 €/m²
Arnstorf6,61 €/m² / 1.380 €/m²
Arrach5,11 €/m² / 781 €/m²
Arzberg4,46 €/m² / 691 €/m²
Asbach-Bäumenheim7,32 €/m² / 1.974 €/m²
Ascha5,06 €/m² / 2.067 €/m²
Aschaffenburg8,66 €/m² / 2.646 €/m²
Aschheim12,72 €/m² / 4.155 €/m²
Attenhofen8,17 €/m² / 2.020 €/m²
Attenkirchen8,10 €/m² / 3.349 €/m²
Atting5,63 €/m² / 1.979 €/m²
Au7,90 €/m² / 2.683 €/m²
Aub4,99 €/m² / 1.269 €/m²
Aubstadt4,03 €/m² / 805 €/m²
Auerbach4,90 €/m² / 802 €/m²
Aufhausen5,93 €/m² / 2.395 €/m²
Aufseß4,73 €/m² / 880 €/m²
Augsburg9,44 €/m² / 2.752 €/m²
Auhausen4,17 €/m² / 1.118 €/m²
Aurach6,53 €/m² / 1.739 €/m²
Aurachtal7,80 €/m² / 2.143 €/m²
Außernzell5,55 €/m² / 1.082 €/m²
Aying10,98 €/m² / 4.309 €/m²
Aystetten8,66 €/m² / 2.965 €/m²
Aßling8,71 €/m² / 3.893 €/m²
B ∅ MIETE / ∅ KAUF
Baar5,97 €/m² / 1.370 €/m²
Baar-Ebenhausen8,96 €/m² / 2.837 €/m²
Babenhausen7,30 €/m² / 1.805 €/m²
Babensham7,28 €/m² / 2.793 €/m²
Bachhagel4,94 €/m² / 1.323 €/m²
Bad Abbach7,85 €/m² / 2.595 €/m²
Bad Aibling9,70 €/m² / 3.550 €/m²
Bad Alexandersbad5,14 €/m² / 814 €/m²
Bad Bayersoien8,21 €/m² / 2.693 €/m²
Bad Birnbach6,30 €/m² / 1.709 €/m²
Bad Bocklet5,18 €/m² / 1.078 €/m²
Bad Endorf8,92 €/m² / 3.114 €/m²
Bad Feilnbach8,73 €/m² / 3.194 €/m²
Bad Füssing7,47 €/m² / 1.806 €/m²
Bad Grönenbach7,04 €/m² / 2.281 €/m²
Bad Heilbrunn9,11 €/m² / 3.201 €/m²
Bad Kissingen6,03 €/m² / 1.454 €/m²
Bad Kohlgrub8,27 €/m² / 2.475 €/m²
Bad Reichenhall8,73 €/m² / 2.670 €/m²
Bad Rodach6,21 €/m² / 1.137 €/m²
Bad Staffelstein6,49 €/m² / 1.818 €/m²
Bad Steben4,95 €/m² / 859 €/m²
Bad Tölz9,72 €/m² / 3.720 €/m²
Bad Wiessee10,90 €/m² / 5.554 €/m²
Bad Windsheim5,92 €/m² / 1.394 €/m²
Bad Wörishofen7,72 €/m² / 2.487 €/m²
Baierbach6,53 €/m² / 1.954 €/m²
Baierbrunn13,72 €/m² / 6.188 €/m²
Baiern9,33 €/m² / 3.200 €/m²
Baiersdorf8,49 €/m² / 2.352 €/m²
Baisweil5,54 €/m² / 1.556 €/m²
Balderschwang7,83 €/m² / 2.568 €/m²
Balzhausen5,01 €/m² / 1.522 €/m²
Bamberg8,78 €/m² / 2.502 €/m²
Barbing7,25 €/m² / 2.839 €/m²
Bastheim5,33 €/m² / 863 €/m²
Baudenbach10,22 €/m² / 505 €/m²
Baunach5,86 €/m² / 1.741 €/m²
Bayerbach5,47 €/m² / 1.534 €/m²
Bayerisch Eisenstein4,80 €/m² / 896 €/m²
Bayerisch Gmain8,89 €/m² / 3.287 €/m²
Bayreuth8,52 €/m² / 2.054 €/m²
Bayrischzell8,02 €/m² / 2.873 €/m²
Bechhofen5,83 €/m² / 1.100 €/m²
Bechtsrieth5,41 €/m² / 1.619 €/m²
Beilngries7,74 €/m² / 2.543 €/m²
Bellenberg7,91 €/m² / 2.112 €/m²
Benediktbeuern9,27 €/m² / 3.763 €/m²
Beratzhausen6,03 €/m² / 1.620 €/m²
Berching6,62 €/m² / 1.494 €/m²
Berg9,86 €/m² / 3.518 €/m²
