Wohnung.com
RATGEBER
IMMOBILIENBEWERTUNG
STATISTIKEN
Adresse
Suche: Stadt, PLZ oder Adresse
Wohnfläche in m²
Wohnung.com Alle Städte
Alle Städte im Überblick
 Baden-Württemberg Bayern Berlin Brandenburg Bremen Hamburg Hessen Mecklenburg-Vorpommern Niedersachsen Nordrhein-Westfalen Rheinland-Pfalz Saarland Sachsen Sachsen-Anhalt Schleswig-Holstein Thüringen
Ø Mietpreis: von 0 bis 30 €/m²
Ø Kaufpreis: von 0 bis 10.000 €/m²
A ∅ MIETE / ∅ KAUF
Adorf/Vogtl.4,32 €/m² / 564 €/m²
Altenberg4,98 €/m² / 871 €/m²
Altmittweida5,35 €/m² / 718 €/m²
Amtsberg4,95 €/m² / 774 €/m²
Annaberg-Buchholz4,84 €/m² / 623 €/m²
Arnsdorf4,95 €/m² / 875 €/m²
Aue4,77 €/m² / 744 €/m²
Augustusburg4,97 €/m² / 818 €/m²
B ∅ MIETE / ∅ KAUF
Bad Brambach3,88 €/m² / 700 €/m²
Bad Elster5,11 €/m² / 857 €/m²
Bad Lausick5,03 €/m² / 804 €/m²
Bad Muskau4,79 €/m² / 833 €/m²
Bad Schandau5,02 €/m² / 772 €/m²
Bahretal5,75 €/m² / 1.271 €/m²
Bannewitz6,66 €/m² / 1.597 €/m²
Bautzen5,43 €/m² / 1.047 €/m²
Beilrode4,56 €/m² / 607 €/m²
Belgern4,72 €/m² / 551 €/m²
Belgershain5,71 €/m² / 1.338 €/m²
Bernsbach5,12 €/m² / 824 €/m²
Bernsdorf4,77 €/m² / 809 €/m²
Bernstadt6,14 €/m² / 883 €/m²
Berthelsdorf4,51 €/m² / 468 €/m²
Bertsdorf-Hörnitz4,57 €/m² / 512 €/m²
Bischofswerda5,39 €/m² / 793 €/m²
Bobritzsch5,14 €/m² / 879 €/m²
Bockau4,83 €/m² / 621 €/m²
Bockelwitz4,74 €/m² / 639 €/m²
Borna4,92 €/m² / 865 €/m²
Borsdorf5,79 €/m² / 1.390 €/m²
Borstendorf4,22 €/m² / 573 €/m²
Boxberg5,19 €/m² / 924 €/m²
Brand-Erbisdorf5,04 €/m² / 751 €/m²
Brandis6,00 €/m² / 1.311 €/m²
Breitenbrunn5,11 €/m² / 1.234 €/m²
Bretnig-Hauswalde5,60 €/m² / 977 €/m²
Burgstädt5,09 €/m² / 898 €/m²
Burkau4,56 €/m² / 917 €/m²
Burkhardtsdorf4,87 €/m² / 859 €/m²
Bärenstein4,44 €/m² / 576 €/m²
Böhlen5,16 €/m² / 1.120 €/m²
C ∅ MIETE / ∅ KAUF
Callenberg5,47 €/m² / 783 €/m²
Cavertitz5,12 €/m² / 550 €/m²
Chemnitz5,12 €/m² / 995 €/m²
Claußnitz4,62 €/m² / 813 €/m²
Colditz4,62 €/m² / 778 €/m²
Coswig5,94 €/m² / 1.119 €/m²
Crimmitschau4,74 €/m² / 509 €/m²
Crinitzberg5,02 €/m² / 1.053 €/m²
Crottendorf5,01 €/m² / 654 €/m²
Cunewalde5,12 €/m² / 520 €/m²
D ∅ MIETE / ∅ KAUF
Dahlen5,11 €/m² / 514 €/m²
Delitzsch5,75 €/m² / 1.053 €/m²
Dennheritz4,84 €/m² / 612 €/m²
Deutzen4,73 €/m² / 548 €/m²
Dippoldiswalde5,65 €/m² / 1.278 €/m²
Doberschau-Gaußig5,32 €/m² / 976 €/m²
Doberschütz5,00 €/m² / 1.173 €/m²
Dohma5,63 €/m² / 1.171 €/m²
Dohna5,90 €/m² / 1.332 €/m²
Dommitzsch4,56 €/m² / 506 €/m²
Dorfchemnitz5,11 €/m² / 433 €/m²
Drebach4,51 €/m² / 720 €/m²
Dreiheide5,55 €/m² / 641 €/m²
Dresden7,47 €/m² / 2.016 €/m²
Döbeln4,89 €/m² / 756 €/m²
Dürrhennersdorf4,76 €/m² / 557 €/m²
Dürrröhrsdorf-Dittersbach5,23 €/m² / 950 €/m²
E ∅ MIETE / ∅ KAUF
Ebersbach-Neugersdorf4,58 €/m² / 496 €/m²
Ehrenfriedersdorf5,13 €/m² / 617 €/m²
Eibau4,65 €/m² / 441 €/m²
Eibenstock4,80 €/m² / 536 €/m²
Eichigt4,30 €/m² / 769 €/m²
Eilenburg5,14 €/m² / 960 €/m²
Ellefeld4,43 €/m² / 620 €/m²
Elsterberg4,41 €/m² / 477 €/m²
Elstertrebnitz5,13 €/m² / 772 €/m²
Elterlein5,22 €/m² / 672 €/m²
Eppendorf5,26 €/m² / 706 €/m²
Erlabrunn7,80 €/m² / 1.527 €/m²
Erlau5,08 €/m² / 832 €/m²
Erlbach-Kirchberg5,29 €/m² / 639 €/m²
Espenhain4,53 €/m² / 1.015 €/m²
F ∅ MIETE / ∅ KAUF
Falkenau4,89 €/m² / 666 €/m²
Falkenstein4,59 €/m² / 776 €/m²
Flöha5,11 €/m² / 1.201 €/m²
Fraureuth4,88 €/m² / 697 €/m²
Freiberg6,40 €/m² / 1.970 €/m²
Freital5,78 €/m² / 1.423 €/m²
Friedersdorf4,47 €/m² / 417 €/m²
Frohburg4,94 €/m² / 723 €/m²
G ∅ MIETE / ∅ KAUF
Geithain4,95 €/m² / 555 €/m²
Geringswalde4,54 €/m² / 430 €/m²
Gersdorf4,95 €/m² / 927 €/m²
Geyer4,87 €/m² / 618 €/m²
Glashütte5,66 €/m² / 1.143 €/m²
Glaubitz5,26 €/m² / 787 €/m²
Glauchau5,06 €/m² / 675 €/m²
Gohrisch4,81 €/m² / 885 €/m²
Gornsdorf4,99 €/m² / 774 €/m²
Grimma5,33 €/m² / 917 €/m²
Groitzsch5,02 €/m² / 856 €/m²
Großdubrau5,01 €/m² / 729 €/m²
Großenhain5,16 €/m² / 932 €/m²
Großnaundorf4,67 €/m² / 897 €/m²
Großolbersdorf4,94 €/m² / 518 €/m²
Großpösna6,49 €/m² / 2.158 €/m²
Großröhrsdorf5,69 €/m² / 921 €/m²
Großrückerswalde4,68 €/m² / 583 €/m²
Großschönau4,59 €/m² / 571 €/m²
Großweitzschen3,93 €/m² / 951 €/m²
Gröditz5,07 €/m² / 636 €/m²
Grünhainichen4,36 €/m² / 884 €/m²
Görlitz4,94 €/m² / 781 €/m²
H ∅ MIETE / ∅ KAUF
Hainichen4,76 €/m² / 689 €/m²
Halsbrücke5,47 €/m² / 909 €/m²
Hartha4,81 €/m² / 491 €/m²
Hartmannsdorf5,05 €/m² / 855 €/m²
Hartmannsdorf-Reichenau4,51 €/m² / 516 €/m²
Haselbachtal5,31 €/m² / 726 €/m²
Heidenau5,92 €/m² / 1.350 €/m²
Heidersdorf4,97 €/m² / 633 €/m²
Heinsdorfergrund4,41 €/m² / 574 €/m²
Hermsdorf5,35 €/m² / 1.063 €/m²
Hochkirch5,03 €/m² / 672 €/m²
Hohendubrau5,34 €/m² / 731 €/m²
Hohenstein-Ernstthal4,92 €/m² / 867 €/m²
Hohndorf5,20 €/m² / 709 €/m²
Hohnstein4,47 €/m² / 954 €/m²
Hormersdorf5,04 €/m² / 0 €/m²
Hoyerswerda5,23 €/m² / 1.109 €/m²
Hähnichen4,40 €/m² / 526 €/m²
Höckendorf5,14 €/m² / 844 €/m²
I ∅ MIETE / ∅ KAUF
J ∅ MIETE / ∅ KAUF
Jesewitz5,80 €/m² / 1.321 €/m²
Johanngeorgenstadt4,32 €/m² / 745 €/m²
K ∅ MIETE / ∅ KAUF
Kamenz5,50 €/m² / 846 €/m²
Kirchberg6,37 €/m² / 1.569 €/m²
Kittlitz6,22 €/m² / 636 €/m²
Kitzen5,58 €/m² / 1.317 €/m²
Kitzscher4,74 €/m² / 992 €/m²
Klingenthal4,28 €/m² / 565 €/m²
